Zeit,SSID,Signal,Verbunden
2025-04-18 10:56:19,FRITZ!Box 7530 QD,89,nein
2025-04-18 10:56:19,FRITZ!Box 7530 QD,63,ja
2025-04-18 10:56:19,FRITZ!Box 6660 Cable GB,42,nein
2025-04-18 10:56:19,FRITZ!Box 7590 MG,30,nein
2025-04-18 10:56:19,Deinwlan,27,nein
2025-04-18 10:56:29,FRITZ!Box 7530 QD,89,nein
2025-04-18 10:56:29,FRITZ!Box 7530 QD,62,ja
2025-04-18 10:56:29,FRITZ!Box 6660 Cable GB,42,nein
2025-04-18 10:56:29,FRITZ!Box 7590 MG,30,nein
2025-04-18 10:56:29,Deinwlan,27,nein
2025-04-18 10:56:39,FRITZ!Box 7530 QD,89,nein
2025-04-18 10:56:39,FRITZ!Box 7530 QD,63,ja
2025-04-18 10:56:39,FRITZ!Box 6660 Cable GB,42,nein
2025-04-18 10:56:39,FRITZ!Box 7590 MG,30,nein
2025-04-18 10:56:39,Deinwlan,27,nein
